date,PHR,GVR,TRC,VNIndex
10/28/2019,60700,13500,38650,996.47998046875
10/25/2019,62200,13600,40000,996.5700073242188
10/24/2019,62000,13600,41350,993.5999755859375
10/23/2019,59100,13700,41750,987.7899780273438
10/22/2019,59900,14000,40500,987.1900024414063
10/21/2019,60000,14000,41050,983.5599975585938
10/18/2019,60000,14000,41600,989.2000122070313
10/17/2019,60900,13700,39150,989.8200073242188
10/16/2019,59300,13800,36600,994.4600219726563
10/15/2019,60000,13500,34300,993.0499877929688
10/14/2019,60700,13900,32300,993.5700073242188
10/11/2019,62500,14000,32500,991.8400268554688
10/10/2019,62600,13800,32200,987.3800048828125
10/09/2019,60800,14200,32100,987.8300170898438
10/08/2019,59000,13700,32100,988.219970703125
10/07/2019,59700,13700,32000,983.0900268554688
10/04/2019,60800,13700,31200,987.5900268554688
10/03/2019,60200,13600,31750,989.6699829101563
10/02/2019,59300,13500,31650,991.1900024414063
10/01/2019,61400,13500,31100,999.5900268554688
09/30/2019,61000,13700,31100,996.5599975585938
09/27/2019,60400,13900,31000,997.8400268554688
09/26/2019,57800,13900,30900,990.75
09/25/2019,57900,14100,31000,987.2999877929688
09/24/2019,55700,13500,31000,988.1300048828125
09/23/2019,53900,13700,31000,985.75
09/20/2019,54300,13800,30700,990.3599853515625
09/19/2019,55500,13500,31000,997.0999755859375
09/18/2019,56000,13200,31050,995.1500244140625
09/17/2019,55400,13500,30050,996.739990234375
09/16/2019,54100,14000,30500,989.8599853515625
09/13/2019,54900,14200,30100,987.219970703125
09/12/2019,55000,14500,30300,976.0700073242188
09/11/2019,55300,14100,30100,969.3099975585938
09/10/2019,53300,15000,30300,970.260009765625
09/09/2019,55000,15400,30200,974.1199951171875
09/06/2019,59100,15900,31000,974.0800170898438
09/05/2019,62400,15900,30600,976.7899780273438
09/04/2019,62400,16100,30600,977.6300048828125
09/03/2019,63690,16100,29800,979.3599853515625
08/30/2019,68452,16400,28650,984.0599975585938
08/29/2019,69543,16200,28600,978.5900268554688
08/28/2019,70832,16500,28600,977.260009765625
08/27/2019,70436,15600,28600,976.7899780273438
08/26/2019,70237,15700,28400,982.8800048828125
08/23/2019,72200,15700,28400,992.4500122070313
